1,name,tel,address,email,website,intro
12,Golf Phú Mỹ Hưng Hotel,08 54104999,"R4-17 Phan Khiêm Ích, Hưng Gia 3, PMH, P Tân Phong, Q 7, HCM",golf_pmh@yahoo.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-golf-phu-my-hung.html,"Khách sạn Golf mang tới một không gian yên tĩnh và thanh bình cho quý khách, đặc biệt với các doanh nhân, khách đi công tác và đi du lịch  có yêu cầu về chất lượng phục vụ cao. Khách sạn 2 sao, đạt tiêu chuẩn phục vụ 3 sao, gồm 38 phòng, có wifi miễn phí trong phòng và các khu vực khác trong khách sạn, miễn phí trà, café, nước uống mỗi ngày. Đặc biệt tất cả các phòng đều có cửa sổ hay ban công thoáng mát."
13,Park Hyatt Hotel,08 38241234,"Số 2 Công Trường Lam Sơn, Quận 1, Tp Hồ Chí Minh",saigon.park@hyatt.com,hotel84.com/tp-ho-chi-minh/khach-san-park-hyatt.html,"Phòng và dãy phòng khách sạn Park Hyatt Sài Gòn xác định lại sang trọng đô thị , pha trộn thiết kế tinh xảo và trang trí với các tiện nghi hiện đại mới nhất là một trong những khách sạn tốt nhất Hồ Chí Minh ở Sài Gòn."
14,Majestic Hotel,08 38295517,"Số 1 Đồng Khởi, Quận 1, tp Hồ Chí Minh",majestic@majesticsaigon.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-majestic.html,"Kể từ năm 1925, khách sạn Majestic Sài Gòn đã chiếm một trong những địa điểm tốt nhất ở Sài Gòn, nơi khách có thể thưởng thức cảnh quan tuyệt đẹp của sông Sài Gòn. Sự quyến rũ cửa hàng cũ của khách sạn, sự sang trọng của thiết kế thực dân Pháp cổ điển tăng cường bởi các cột và mái vòm của nó tôn vinh Golden Age của kiến ​​trúc. Sang trọng đạt được thông qua sự chú ý đến chi tiết và tiện nghi đầy đủ đảm bảo thông qua dịch vụ lịch sự. "
15,Continental Hotel,08 38299201,"132 - 134 Đồng Khởi, Quận 1, Hồ Chí Minh",continentalhotel@vnn.vn,hotel84.com/tp-ho-chi-minh/khach-san-continental.html,"Khách sạn Continental Sài Gòn nằm trên đường Đồng Khởi , một trong những con đường lâu đời nhất và trung tâm nhất ở Sài Gòn. Trong những ngày cũ , những con đường Sài Gòn đã được chỉ đơn giản là đặt tên theo số thứ tự . Bắt đầu từ ngân hàng SaigonRiver , Đồng Khởi là đường thứ sáu. Năm 1865 , người Pháp chỉ huy De La Grandière đổi tên những con đường và thứ sáu đường trở thành Catinat Street, một nơi nhộn nhịp , đặc biệt là trong kỷ nguyên thuộc địa Pháp . "" Catinat Street"" cùng một lúc được một nơi rất nhộn nhịp và đông đúc, đặc biệt là với người Pháp . Sau đó, trên đường phố từ Continental nền móng đầu tiên và sàn cho các nhà máy được xây dựng, là người đầu tiên cho Denis Frere . Tiếp theo là các nhà thuốc đầu tiên tại Sài Gòn, "" Solinere dược phẩm, "" mở cửa vào năm 1865."
16,Sunflower Hotel,08 62519666,"11B Thái Văn Lung, Bến Nghé, Quận 1, Hồ Chí Minh",sales@sunflowerhotel.vn; info@sunflowerhotel.vn,hotel84.com/tp-ho-chi-minh/khach-san-sunflower.html,"Nằm ở trung tâm thành phố Hồ Chí Minh , chỉ cần 5 phút đi xa chợ Bến Thành và chỉ mất 15 phút để Tân Sơn Nhất International Air -Port , nơi SUNFLOWER Hotel là một trong những khách sạn nổi tiếng và sang trọng , bên cạnh nhà hát , nơi thường tổ chức các sự kiện truyền thống của Việt Nam như vườn hoa Nguyễn Huệ . Nó cũng là một vị trí gần khu vực mua sắm đường Đồng Khởi , Lê Lợi , chỉ có một khoảng cách đi bộ đến sông Sài Gòn , vuông Hồ Chí Minh Trạng thái và xây dựng Ủy ban nhân dân và nhiều tòa nhà thương mại , cửa hàng cửa hàng truyền thống và các địa điểm vui chơi giải trí là tất cả xung quanh khách sạn ."
17,Elios Hotel,08 38385584 - 38385585,"Số 233 Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",reservation@elioshotel.vn,hotel84.com/tp-ho-chi-minh/khach-san-elios.html,"Khách sạn Elios là khách sạn 3 sao tiêu chuẩn quốc tế mới được xây dựng và có vị trí tiện lợi nằm ở trung tâm thương mại, mua sắm và giải trí của thành phố. Khách sạn Elios nằm ngay kề khu phố Tây Balô nổi tiếng của Sài Gòn, chỉ mất 5 phút đi bộ là tới Chợ Bến Thành và 15 phút là tới sân bay. Khách sạn được thiết kế với lối kiến trúc hiện đại pha chút cổ điển, gồm 81 phòng có hướng nhìn ra công viên 23/9 – nơi thường diễn ra những hoạt động nghệ thuật giải trí lớn của thành phố."
18,Asian Ruby Luxury Hotel,08 38272838,"26 Thi Sách, Phường Bến Nghé, Quận 1, Hồ Chí Minh",info@asianrubyhotel.com,hotel84.com/tp-ho-chi-minh/khach-san-asian-ruby-luxury.html,"Asian Ruby Hotel sang trọng được biết đến như là khách sạn chuyên nghiệp và thân thiện tại TP.HCM Downtown, đặc biệt là với khách hàng Nhật Bản. Chúng tôi có 80 phòng được trang trí bởi sự kết hợp hài hòa giữa thiết kế cổ điển và hiện đại. Với thiết kế với ánh sáng làm cho Asian Ruby Hotel thanh lịch và sang trọng hơn."
19,Faifoo Boutique Hotel ,08 35104281 - 35104282 - 35104283,"97/3 Lê Quang Định, P 14, Q Bình Thạnh, Hồ Chí Minh",info@faifoohotel.com,hotel84.com/tp-ho-chi-minh/khach-san-faifoo-boutique.html,"Faifoo Boutique Hotel nằm trong một con hẻm yên tĩnh của quận Bình Thạnh, là 15 phút lái xe đến trung tâm thành phố Sài Gòn và 15 phút đến sân bay quốc tế Tân Sơn Nhất. Khách sạn nằm trong khoảng cách đi bộ đến địa phương điểm tham quan nổi tiếng như đền thờ Ông Mausolium, chợ Bà Chiểu (trong đó cung cấp trải nghiệm độc đáo trên thị trường địa phương) và Đại học Mỹ thuật Sài Gòn. Khách sạn 5 phút lái xe đến địa điểm du lịch chùa Ngọc Hoàng."
20,Hoàng Hải Long Hotel,08 38245888 - 8282888,"52B - 62 - 64 Phạm Hồng Thái, Quận 1, Hồ Chí Minh",booking@hoanghailonghotel.com; reservations@hoanghailonghotel.com,hotel84.com/tp-ho-chi-minh/khach-san-hoang-hai-long.html,"Khách sạn Hoàng Hải Long là khách sạn 3 sao đạt tiêu chuẩn quốc tế tại thành phố Hồ Chí Minh với khoảng 200 phòng được thiết kế hiện đại sang trọng. Khách sạn có vị trí trung tâm, cảnh quan xung quanh đẹp, nhân viên thân thiện."
21,Elegant Hotel,08 39258866,"122F - 122F1 Bùi Thị Xuân, Phạm Ngũ Lão, Q 1, Hồ Chí Minh",sales@eleganthotel.vn,hotel84.com/tp-ho-chi-minh/khach-san-elegant.html,"Tọa lạc tại một vị trí đắc địa ở trung tâm thành phố Hồ Chí Minh, Elegant Hotel là một khách sạn boutique mà là một từ chợ Bến Thành và Công viên Tao Đàn 5 phút đi bộ. Nó có tính năng Wi-Fi miễn phí và một trung tâm thể dục. Các phòng máy lạnh tại Elegant Hotel được thắp sáng và truyền hình an toàn, màn hình phẳng và tủ lạnh. Vòi sen nước nóng và đồ dùng trong nhà có trong phòng tắm riêng. Dịch vụ giặt là và giặt khô cũng được cung cấp. Sắp xếp chuyến đi và chuyến đi tham quan có thể được thực hiện tại bàn tour trên trang web. "
22,The Sun Hotel,08 38200909,"19 - 21 Nguyễn Hữu Cầu, Tân Định, Q 1, Hồ Chí Minh",info@thesunhotel.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-the-sun.html,"Với danh lam thắng cảnh và bề dầy truyền thống lịch sử, thành phố Hồ Chí Minh – Sài Gòn được mệnh danh là “ Hòn Ngọc Viễn Đông”. Đến thành phố Hồ Chí Minh và nghỉ tại khách sạn Mặt Trời, bạn được tận hưởng không gian ấm cùng, sạch đẹp và thư giãn. Dù bạn đi du lịch hay công tác, khách sạn Mặt trời luôn mang lại dịch vụ tốt và thoải mái nhất. Đăng ký tiêu chuẩn 2 sao nhưng khách sạn Mặt Trời cam kết phục vụ quý khách “ Chất lượng 3 sao – Mức giá 2 sao”."
23,Time Door Hotel,08 35210140,"278 Lê Thánh Tôn, P.Bến Thành, Q.1, TP. Hồ Chí Minh",timedoorhotel278@yahoo.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-time-door.html,"Timedoor Hotel có 17 phòng được chia làm 4 level nhằm đáp ứng mọi yêu cầu của bạn là : Standard, Suite, Deluxe và Family. Tất cả đều được thiết kế nhã nhặn và tỉ mỉ nhằm mang đến cho bạn một không gian sống hoàn hảo với những trang thiết bị hiện đại, đầy đủ những dịch vụ cá nhân và thái độ phục vụ thân thiện của đội ngũ nhân viên."
24,Mai Anh Hotel,08 38341059 - 8341060,"324 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",maianhhotel@yahoo.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-mai-anh.html,"Khách sạn Mai Anh Hồ Chí Minh là khách sạn tiêu chuẩn 2 sao tọa lạc ngay tại trung tâm thành phố Hồ Chí Minh. Khách sạn có vị trí thuận tiện, chất lượng phục vụ hoàn hảo cùng đội ngũ nhân viên thân thiện là địa điểm lý tưởng cho khách nghỉ ngơi, công tác cũng như tham quan du lịch."
25,Camly Hotel,08 39931587,"656 Cách Mạng Tháng 8, P 11, Quận 3, Hồ Chí Minh",info@camlyhotel.com,hotel84.com/tp-ho-chi-minh/camly-apartment-hotel.html,"Một Căn hộ dịch vụ boutique và lãng mạn nằm trên đường Cách Mạng Tháng 8 quận 3 mang tên Camly Hotel. Nó được thiết kế độc đáo theo phong cách miền nam châu Âu, kết hợp với nội thất thanh lịch làm cho căn hộ thêm ấm cúng và thoải mái. Từ căn hộ chỉ mất khoảng 5-10 phút để được ở trung tâm thành phố và 10 phút đến sân bay. Căn hộ bao quanh với không gian xanh đối diện công viên, bầu không khí sạch sẽ với mái nhà đẹp nhìn xuống công viên mà chắc chắn tốt cho sức khỏe của bạn. Đây là một căn hộ đáng tin cậy, một lựa chọn tốt cho người nước ngoài lưu trú ngắn hạn và dài hạn."
26,Thiên Hương Hotel,08 38438785 - 38436087,"5B-5C Trần Nhật Duật , P Tân Định, Quận 1, TP Hồ Chí Minh",thienhuongtnd@gmail.com; thienhuongkhachsan@gmail.com,hotel84.com/tp-ho-chi-minh/khach-san-thien-huong.html,"Khách sạn Thiên Hương tiêu chuẩn 2 sao đã đưa vào họat động từ năm 1994 và qua mỗi năm chúng tôi lại đầu tư phát triển cơ sở vật chất nhằm mang đến những tiện nghi tiêu chuẩn 2 sao đến với khách đến nghỉ ngơi và thư giãn. Có vị trị gần Chợ Tân Định nổi tiếng và cách sân bay Tân Sơn Nhất chỉ 3km, khách sạn Thiên Hương mang lại sự thuận tiện trong việc đi lại đến quý khách trong nội thành Quận 1. Hơn thế nữa, bạn có thể dễ dàng tham quan các điểm du lịch tại thành phố Hồ Chí Minh cũng như các trung tâm mua sắm trên con đường thời trang cao cấp Hai Bà Trưng."
27,Hoàng Long Sơn 2 Hotel,08 37407487,"14-16-18 Đường số 7, P An Phú, Quận 2, Tp Hồ Chí Minh",contact.hls2@hlshotels.com,hotel84.com/tp-ho-chi-minh/khach-san-hoang-long-son-2.html,"Khách sạn Hoàng Long Sơn 2 là một thành viên trẻ trong hệ thống khách sạn Hoàng Long Sơn. Được hoàn thành vào cuối năm 2010, khách sạn Hoàng Long Sơn 2 được xây dựng ở một vị thế đắc địa tại khu đô thị mới tại Quận 2 nhằm tạo thuận lợi cho việc di chuyển đến những khu thương mại trọng điểm tại Quận 2 nói riêng và của thành phố Hồ Chí Minh nói chung. Tuy nhiên quý khách vẫn tận hưởng được sự yên tĩnh và thoáng mát khi ở tại khách sạn chúng tôi."
28,Tân Hoàng Mai Hotel,08 35164305,"243/2 Chu Văn An, phường 12, Q Bình Thạnh, Tp Hồ Chí Minh",contact.thm@hlshotels.com,hotel84.com/tp-ho-chi-minh/khach-san-tan-hoang-mai.html,"Khách sạn Tân Hoàng Mai có hơn 50 phòng. Khách sạn được xây dựng trên địa điểm thuận tiện trong thành phố, ở giữa một trong những thành phố thú vị nhất và sống động trong khu vực Đông Nam Á. Khách sạn đạt tiêu chuẩn 2 sao đã được đưa ra bởi Tổng cục Du lịch Việt Nam."
29,Xuân Huê Hotel,08 838447879,"71/2/3 Nguyễn Bặc, P 3, Q Tân bình, Tp Hồ Chí Minh",nguyenthitohai1962@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-xuan-hue.html,"Đặc trưng với các phòng có Wi-Fi miễn phí, khách sạn Xuân Huê vị trí thuận lợi cạnh Chợ Phạm Văn Hai. Khách được hưởng đặc quyền đậu xe miễn phí. Khách sạn có lễ tân 24 giờ."
30,Hoàn Vũ 2 Hotel,08 35172944,"28M Khu dân cư miếu nổi, Phường 3, Q Bình Thạnh, Hồ Chí Minh",info@hoanvuhotel.com,hotel84.com/tp-ho-chi-minh/khach-san-hoan-vu-2.html,"Khi đến thăm Thành phố Hồ Chí Minh, bạn sẽ cảm thấy như đang ở nhà tại Hoan Vu 2 Hotel, nơi có chất lượng tuyệt vời và dịch vụ chu đáo. Với vị trí cách trung tâm thành phố 3.0 Km và cách sân bay 15. Km, khách sạn 1 sao này thu hút được rất nhiều du khách mỗi năm. Và cũng có thể dễ dàng đến Đền thờ Trần Hưng Đạo, Đền thờ Lê Văn Duyệt, Chùa Ngọc Hoàng đế."
31,Hoàn vũ 1 Hotel,08 35170325,"21M - 22M Khu dân cư miếu nổi, P 3, Bình Thạnh, Hồ Chí minh",info@hoanvuhotel.com,hotel84.com/tp-ho-chi-minh/khach-san-hoan-vu-1.html,"Hiện nay, trong lỉnh vực khách sạn với số lượng khách sạn mọc lên quá nhiều, thật khó để quý khách lựa chọn một vị trí nghỉ ngơi đúng tiêu chuẩn và đẳng cấp. Hiểu được điều đó, chúng tôi đặt tiêu chí chất lượng lên hàng đầu và lấy chữ “ TÂM” để phục vụ quý khách. "
32,Nam Phương Hoàng Hậu Hotel,08 54322288,"8/10 Đường số 7, KDC Trung Sơn, Bình Chánh, Tp Hồ Chí Minh",namphuongqueenhotel@gmail.com,hotel84.com/tp-ho-chi-minh/khach-san-nam-phuong-hoang-hau.html,"Ấn tượng khi du khách đến với Khách Sạn Nam Phương Hoàng Hậu là sự yên tĩnh và không gian xanh khu vực xung quanh khách sạn,  những công viên nhỏ với bãi cỏ xanh, những cây cao tỏa bóng mát. Du khách có thể đi dạo mát bên nhánh sông cách khách sạn khoảng 20m với hàng dương xanh mát cho bạn cảm giác như đi nghỉ tại một bờ biển ngay giữa lòng thành phố."
33,Toàn Cầu Hotel,08 38393392 - 38391187,"487/489 Điện Biên Phủ, Phường 3, Quận 3, Hồ Chí Minh",tranchauhotel@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-toan-cau.html,"Khách sạn Toàn Cầu gồm 25 phòng đầy đủ tiện nghi: máy lạnh, tủ lạnh, máy nước nóng, điện thoại, tivi, bồn tắm, thang máy, wifi miễn phí, bãi giữ xe an toàn."
34,Trân Châu Hotel,08 38255097 - 39401270,"82 Nguyễn Tất Thành, Phường 12, Quận 4, Hồ Chí Minh",tranchauhotel@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-tran-chau.html,"Khách sạn Trân Châu gồm 15 phòng đầy đủ tiện nghi: máy lạnh, tủ lạnh, máy nước nóng, điện thoại, tivi, bồn tắm, wifi miễn phí, bãi giữ xe an toàn."
35,Trái Táo Hotel,08 38558754 - 38556765,"29 Châu Văn Liêm, Phường 14, Quận 5, Hồ Chí Minh",tranchauhotel@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-trai-tao.html,"Khách sạn Trái Táo gồm 25 phòng đầy đủ tiện nghi: máy lạnh, tủ lạnh, máy nước nóng, điện thoại, tivi, bồn tắm, thang máy, wifi miễn phí, bãi giữ xe an toàn."
36,Mai Hotel,08 38389410 - 38389407,"212B/23E Nguyễn Trãi, P Nguyễn Cư Trinh, Q 1, Hồ Chí Minh",tranchauhotel@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-mai.html,"Khách sạn Mai gồm 20 phòng đầy đủ tiện nghi: máy lạnh, tủ lạnh, máy nước nóng, điện thoại, tivi, bồn tắm, wifi miễn phí, bãi giữ xe an toàn."
37,Bảo Trân 1 Hotel,08 38686161,"666/12 Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh",hotelbaotran@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-bao-tran-1.html,"Khách sạn Bảo Trân được thiết kế mang đậm phong cách kiến trúc hiện đại, năng động với 40 phòng nghỉ  đạt tiêu chuẩn Quốc tế. Tất cả các phòng đều có view không gian nhìn ra các con đường sầm uất của khu trung tâm TP.HCM, được trang bị đầy đủ các tiện nghi điều hòa, bồn tắm, két an toàn, tủ lạnh, máy sấy tóc, điện thoại đường line quốc tế, Tivi truyền hình cáp, truy cập Internet ADSL, dịch vụ WIFI, dịch vụ phòng 24h..."
38,Bảo Trân 2 Hotel,08 38686161,"491/24 Nguyễn Đình Chiểu, Phường 2, Quận 3, Hồ Chí Minh",hotelbaotran@yahoo.com,hotel84.com/tp-ho-chi-minh/khach-san-bao-tran-2.html,"Với vị trí thuận lợi, nằm ngay trung tâm của TP. Hồ Chí Minh, rất thuận tiện cho việc giao dịch với các bộ, ban, ngành; gần với các trung tâm triển lãm, khu thương mại, sân vận động, chợ, siêu thị và các thắng cảnh nổi tiếng của thành phố. Khách sạn Bảo Trân là nơi rất phù hợp để Quý khách nghỉ ngơi và làm việc."
39,Phúc Khánh Hotel,08 38224335 - 38211584,"9 Yersin, chợ Bến Thành Quận 1, Hồ Chí Minh",info@phuckhanh.vn,hotel84.com/tp-ho-chi-minh/khach-san-phuc-khanh.html,"Nằm ở trung tâm của chợ Bến Thành Quận 1, Khách sạn Phúc Khánh là một nơi lý tưởng để khám phá excitements của lõi trung tâm thành phố trong một dặm. Khách sạn có 6 tầng và 20 phòng được trang bị tất cả các tiện nghi và dịch vụ làm cho kỳ nghỉ của bạn thật đặc biệt."
40,Hòa Phát Hotel,08 62824842,"526/5 Kha Vạn Cân, P Linh Đông, Q Thủ Đức, Hồ Chí Minh",info@hoaphathotel.com,hotel84.com/tp-ho-chi-minh/khach-san-hoa-phat.html,"Khách sạn quốc tế tiêu chuẩn 3 sao với 60 phòng ngủ đầy đủ tiện nghi, thiết kế trang nhã, nội thất rộng rãi tạo nên một không khí ấm áp, thư giãn cho Quý khách."
41,Lucky Hotel,08 39257157,"134 Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh",reservation@lucyhotel.net,hotel84.com/tp-ho-chi-minh/khach-san-lucky-sai-gon.html,"Lucy Hotel có vị trí tuyệt vời trong thành phố Hồ Chí Minh, đối diện Công viên 23/9, 10 phút đi bộ từ chợ Bến Thành cách khoảng 7 km từ sân bay quốc tế Tân Sơn Nhất và 1,5 km từ Nhà hát lớn. Khách sạn có cửa hàng phuc vụ một số món ăn Việt Nam và phương Tây trong quán cà phê có Wi-Fi miễn phí."
42,Ngọc Hà Hotel,08 62960671,"Số 8 Đường số 2, P Bình An, Quận 2, Hồ Chí Minh",khachsan.ngocha@yahoo.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-ngoc-ha.html,"Toạ lạc tại đường số 2, phường Bình An, Q2, HCM. Spa và hotel Ngọc Hà ngày càng khẳng định vị trí của mình trong bản đồ spa và hotel cao cấp của thành phố. Nằm trong không viên rộng thoáng bao gồm cà khách sạn, spa và phòng thể dục thẩm mỹ, Spa Ngọc Hà là sự kết hợp tính tế giữa các dịch vụ: nghỉ dưỡng, thư giãn, và thể dục thẩm mỹ, Hiện nay, nơi đây đã trở thành điểm đến hấp dẫn và đáng tin cậy của quý khách gần xa."
